ticker,tags,daily_df,intraday_df,daily_len,intr_len,daily_peaks,daily_troughs,intr_peaks,intr_troughs,intr_top,intr_bottom,earnings_date,trade_details,sector,last_close,last_date
AAPL,"['BREAKOUT_DOWN', 'HALFYEARLY_UP', 'MONTHLY_DOWN', 'NINE_DAY_LOW', 'RSI_OVERSOLD', 'YTD_DOWN']","                         Date        Open  ...    BB_upper    BB_lower
0   2024-07-24 13:30:00+00:00  224.000000  ...  218.539993  218.539993
1   2024-07-25 13:30:00+00:00  218.929993  ...  219.499906  216.530092
2   2024-07-26 13:30:00+00:00  218.699997  ...  219.048575  216.944762
3   2024-07-29 13:30:00+00:00  216.960007  ...  218.950186  217.164819
4   2024-07-30 13:30:00+00:00  219.190002  ...  219.225173  217.186832
..                        ...         ...  ...         ...         ...
360 2025-12-30 14:30:00+00:00  272.809998  ...  284.496009  267.881988
361 2025-12-31 14:30:00+00:00  273.059998  ...  282.524683  268.420312
362 2026-01-02 14:30:00+00:00  272.260010  ...  280.836780  268.794217
363 2026-01-05 14:30:00+00:00  270.640015  ...  280.395090  267.891906
364 2026-01-06 18:46:33+00:00  267.007996  ...  280.996709  265.703288

[365 rows x 14 columns]","                         Date        Open  ...    BB_upper    BB_lower
0   2025-12-24 14:30:00+00:00  273.250000  ...  273.869995  273.869995
1   2025-12-24 14:35:00+00:00  273.910004  ...  274.874946  273.390039
2   2025-12-24 14:40:00+00:00  274.390015  ...  274.658333  273.608329
3   2025-12-24 14:45:00+00:00  274.114990  ...  274.668019  273.347576
4   2025-12-24 14:50:00+00:00  273.640015  ...  274.607263  273.449207
..                        ...         ...  ...         ...         ...
559 2026-01-06 18:30:00+00:00  262.929993  ...  263.483527  262.273349
560 2026-01-06 18:35:00+00:00  262.940002  ...  263.480821  262.293056
561 2026-01-06 18:40:00+00:00  262.779999  ...  263.487710  262.308155
562 2026-01-06 18:45:00+00:00  262.945007  ...  263.493384  262.332751
563 2026-01-06 18:46:33+00:00  262.910004  ...  263.492316  262.361178

[564 rows x 14 columns]",365,564,"[5, 108, 129, 173, 193, 201, 264, 341]","[9, 123, 136, 159, 177, 197, 209, 256, 283, 305, 334]","[358, 440, 506]","[354, 385, 434, 470]",277.4184875488281,266.8699951171875,,"{'BREAKOUT_DOWN': {'sl': np.float64(271.3300040108817), 'tp': np.float64(246.07000296456476), 'entry': 262.9100036621094, 'desc': 'Breakdown below 20-day low ($267.26). Entry: $262.91.'}}",,262.9100036621094,2026-01-06
ACWI,"['BREAKOUT_UP', 'NINE_DAY_HIGH', 'YEARLY_UP', 'YTD_UP']","                         Date        Open  ...    BB_upper    BB_lower
0   2024-07-24 13:30:00+00:00  113.500000  ...  112.019997  112.019997
1   2024-07-25 13:30:00+00:00  111.610001  ...  112.541098  110.928895
2   2024-07-26 13:30:00+00:00  112.339996  ...  113.404081  110.755912
3   2024-07-29 13:30:00+00:00  112.910004  ...  113.459123  110.995872
4   2024-07-30 13:30:00+00:00  112.900002  ...  113.308081  111.171915
..                        ...         ...  ...         ...         ...
360 2025-12-30 14:30:00+00:00  142.490005  ...  143.993927  139.372075
361 2025-12-31 14:30:00+00:00  142.550003  ...  143.999392  139.400612
362 2026-01-02 14:30:00+00:00  142.770004  ...  144.066786  139.414219
363 2026-01-05 14:30:00+00:00  143.089996  ...  144.308268  139.343735
364 2026-01-06 18:47:08+00:00  143.085007  ...  144.649763  139.220740

[365 rows x 14 columns]","                         Date        Open  ...    BB_upper    BB_lower
0   2025-12-24 14:30:00+00:00  142.500000  ...  142.500000  142.500000
1   2025-12-24 14:35:00+00:00  142.529999  ...  142.527425  142.442576
2   2025-12-24 14:40:00+00:00  142.464996  ...  142.529530  142.453807
3   2025-12-24 14:45:00+00:00  142.509995  ...  142.528670  142.461335
4   2025-12-24 14:50:00+00:00  142.520004  ...  142.553694  142.454307
..                        ...         ...  ...         ...         ...
557 2026-01-06 18:25:00+00:00  144.259995  ...  144.372753  143.936678
558 2026-01-06 18:30:00+00:00  144.235001  ...  144.370012  143.967918
559 2026-01-06 18:40:00+00:00  144.214996  ...  144.359353  144.008578
560 2026-01-06 18:45:00+00:00  144.289993  ...  144.343745  144.058185
561 2026-01-06 18:47:08+00:00  144.285004  ...  144.341164  144.084257

[562 rows x 14 columns]",365,562,"[5, 167, 328]","[8, 177, 334]","[117, 331, 361, 390, 519]","[354, 383, 406, 430, 509]",144.26499938964844,141.49000549316406,,"{'BREAKOUT_UP': {'sl': np.float64(142.4507075718471), 'tp': np.float64(147.95359584263394), 'entry': 144.28500366210938, 'desc': 'Breakout above 20-day high ($143.68). Entry: $144.29.'}}",,144.28500366210938,2026-01-06
ADA-USD,"['HALFYEARLY_DOWN', 'MONTHLY_UP', 'QUARTERLY_DOWN', 'YEARLY_DOWN', 'YTD_UP']","                         Date      Open      High  ...    BB_std  BB_upper  BB_lower
0   2025-01-07 00:00:00+00:00  1.094123  1.150163  ...  0.000000  0.992010  0.992010
1   2025-01-08 00:00:00+00:00  0.992018  1.021282  ...  0.031098  1.032216  0.907825
2   2025-01-09 00:00:00+00:00  0.948023  0.958277  ...  0.043014  1.034704  0.862650
3   2025-01-10 00:00:00+00:00  0.905990  0.971773  ...  0.036161  1.016693  0.872049
4   2025-01-11 00:00:00+00:00  0.931451  1.012941  ...  0.038520  1.031441  0.877362
..                        ...       ...       ...  ...       ...       ...       ...
360 2026-01-02 00:00:00+00:00  0.356212  0.395642  ...  0.016978  0.399541  0.331628
361 2026-01-03 00:00:00+00:00  0.393761  0.398342  ...  0.016350  0.397924  0.332524
362 2026-01-04 00:00:00+00:00  0.389380  0.404308  ...  0.017419  0.400662  0.330987
363 2026-01-05 00:00:00+00:00  0.400092  0.424610  ...  0.021083  0.409796  0.325466
364 2026-01-06 18:43:00+00:00  0.421845  0.435460  ...  0.022827  0.415303  0.323994

[365 rows x 14 columns]","                          Date      Open  ...  BB_upper  BB_lower
0    2025-12-30 00:00:00+00:00  0.352916  ...  0.352953  0.352953
1    2025-12-30 00:05:00+00:00  0.352932  ...  0.352979  0.352941
2    2025-12-30 00:10:00+00:00  0.353150  ...  0.353037  0.352917
3    2025-12-30 00:15:00+00:00  0.353025  ...  0.353535  0.352641
4    2025-12-30 00:20:00+00:00  0.353430  ...  0.353776  0.352598
...                        ...       ...  ...       ...       ...
2237 2026-01-06 18:25:00+00:00  0.406953  ...  0.412185  0.403306
2238 2026-01-06 18:30:00+00:00  0.406817  ...  0.412065  0.403247
2239 2026-01-06 18:35:00+00:00  0.407175  ...  0.411859  0.403221
2240 2026-01-06 18:40:00+00:00  0.406939  ...  0.411685  0.403175
2241 2026-01-06 18:43:00+00:00  0.406852  ...  0.411394  0.403172

[2242 rows x 14 columns]",365,2242,"[10, 37, 54, 107, 123, 154, 196, 222, 249, 272, 307]","[2, 33, 52, 62, 91, 118, 207, 261, 301]",[1072],[],0.39070436358451843,,,{},,0.4068516790866852,2026-01-06
AGG,['YTD_UP'],"                         Date        Open  ...    BB_upper   BB_lower
0   2024-07-24 13:30:00+00:00   97.820000  ...   97.699997  97.699997
1   2024-07-25 13:30:00+00:00   97.839996  ...   98.216843  97.453155
2   2024-07-26 13:30:00+00:00   98.290001  ...   98.618386  97.374945
3   2024-07-29 13:30:00+00:00   98.540001  ...   98.818433  97.416568
4   2024-07-30 13:30:00+00:00   98.519997  ...   98.944579  97.475422
..                        ...         ...  ...         ...        ...
360 2025-12-30 14:30:00+00:00  100.059998  ...  100.379977  99.680023
361 2025-12-31 14:30:00+00:00  100.019997  ...  100.362091  99.666909
362 2026-01-02 14:30:00+00:00  100.000000  ...  100.296927  99.679073
363 2026-01-05 14:30:00+00:00   99.930000  ...  100.284722  99.681278
364 2026-01-06 18:46:53+00:00   99.930000  ...  100.279828  99.676572

[365 rows x 14 columns]","                         Date       Open  ...   BB_upper   BB_lower
0   2025-12-24 14:30:00+00:00  99.900002  ...  99.889999  99.889999
1   2025-12-24 14:35:00+00:00  99.885002  ...  99.899565  99.885431
2   2025-12-24 14:40:00+00:00  99.894997  ...  99.907479  99.865852
3   2025-12-24 14:45:00+00:00  99.870003  ...  99.903254  99.866743
4   2025-12-24 14:50:00+00:00  99.875000  ...  99.901163  99.864835
..                        ...        ...  ...        ...        ...
556 2026-01-06 18:30:00+00:00  99.940002  ...  99.961285  99.872784
557 2026-01-06 18:35:00+00:00  99.925003  ...  99.960236  99.879833
558 2026-01-06 18:40:00+00:00  99.934998  ...  99.957348  99.888121
559 2026-01-06 18:45:00+00:00  99.940002  ...  99.955296  99.895172
560 2026-01-06 18:46:53+00:00  99.933998  ...  99.953856  99.900512

[561 rows x 14 columns]",365,561,"[7, 37, 59, 76, 95, 110, 134, 150, 175, 191, 213, 233, 317, 338]","[0, 27, 74, 118, 139, 158, 169, 180, 207, 218, 243, 301, 323, 346]","[42, 120, 122, 195, 291, 309, 353, 388, 467, 485, 508, 554]","[7, 74, 203, 275, 352, 381, 411, 528]",100.18499755859375,99.81500244140625,,{},,99.93399810791016,2026-01-06
AMZN,"['BREAKOUT_UP', 'DAILY_TOP', 'MONTHLY_UP', 'NINE_DAY_HIGH', 'RSI_OVERBOUGHT', 'YTD_UP']","                         Date        Open  ...    BB_upper    BB_lower
0   2024-07-24 13:30:00+00:00  183.199997  ...  180.830002  180.830002
1   2024-07-25 13:30:00+00:00  182.910004  ...  181.725927  178.954081
2   2024-07-26 13:30:00+00:00  180.389999  ...  183.739773  178.380232
3   2024-07-29 13:30:00+00:00  183.839996  ...  184.655560  178.534442
4   2024-07-30 13:30:00+00:00  184.720001  ...  184.270519  178.965485
..                        ...         ...  ...         ...         ...
360 2025-12-30 14:30:00+00:00  231.210007  ...  236.499037  221.405963
361 2025-12-31 14:30:00+00:00  232.910004  ...  235.931736  221.613265
362 2026-01-02 14:30:00+00:00  231.339996  ...  235.495488  221.461513
363 2026-01-05 14:30:00+00:00  228.839996  ...  235.984139  221.367862
364 2026-01-06 18:46:53+00:00  232.199997  ...  238.759725  219.847245

[365 rows x 14 columns]","                         Date        Open  ...    BB_upper    BB_lower
0   2025-12-24 14:30:00+00:00  232.000000  ...  232.169800  232.169800
1   2025-12-24 14:35:00+00:00  232.169998  ...  232.434734  231.615070
2   2025-12-24 14:40:00+00:00  231.897293  ...  232.411582  231.398283
3   2025-12-24 14:45:00+00:00  231.645004  ...  232.358009  231.504388
4   2025-12-24 14:50:00+00:00  231.970001  ...  232.358936  231.566979
..                        ...         ...  ...         ...         ...
557 2026-01-06 18:25:00+00:00  241.740005  ...  243.682317  238.832134
558 2026-01-06 18:30:00+00:00  242.119995  ...  243.589438  239.248925
559 2026-01-06 18:40:00+00:00  241.679993  ...  243.327782  239.812579
560 2026-01-06 18:45:00+00:00  241.820007  ...  243.116922  240.286439
561 2026-01-06 18:46:53+00:00  242.079697  ...  242.994102  240.611739

[562 rows x 14 columns]",365,562,"[5, 20, 79, 133, 167, 201, 220, 255, 282, 304, 321, 341, 364]","[8, 64, 86, 119, 162, 177, 185, 228, 257, 294, 310, 334, 362]","[357, 443, 547]","[347, 376, 430, 509]",242.701904296875,225.1750030517578,,"{'DAILY_TOP': {'sl': np.float64(247.80857631138392), 'tp': np.float64(230.62193734305248), 'entry': 242.07969665527344, 'desc': 'Daily top confirmed near $243.16. Entry (short): $242.08.'}, 'BREAKOUT_UP': {'sl': np.float64(228.4114249093192), 'tp': np.float64(269.4162401471819), 'entry': 242.07969665527344, 'desc': 'Breakout above 20-day high ($233.06). Entry: $242.08.'}}",,242.07969665527344,2026-01-06
BNB-USD,"['RSI_OVERBOUGHT', 'YEARLY_UP', 'YTD_UP']","                         Date        Open  ...    BB_upper    BB_lower
0   2025-01-07 00:00:00+00:00  729.393250  ...  697.368896  697.368896
1   2025-01-08 00:00:00+00:00  697.368896  ...  698.769232  694.436822
2   2025-01-09 00:00:00+00:00  695.837158  ...  706.122398  679.428790
3   2025-01-10 00:00:00+00:00  685.120361  ...  703.918438  682.057178
4   2025-01-11 00:00:00+00:00  693.624451  ...  703.741010  683.702618
..                        ...         ...  ...         ...         ...
360 2026-01-02 00:00:00+00:00  863.055176  ...  883.265114  825.199516
361 2026-01-03 00:00:00+00:00  880.855896  ...  883.451099  825.096789
362 2026-01-04 00:00:00+00:00  878.643433  ...  890.309680  821.822065
363 2026-01-05 00:00:00+00:00  894.395447  ...  899.270980  816.449699
364 2026-01-06 18:45:00+00:00  910.720093  ...  905.645772  815.835850

[365 rows x 14 columns]","                          Date        Open  ...    BB_upper    BB_lower
0    2025-12-30 00:00:00+00:00  851.235901  ...  851.343628  851.343628
1    2025-12-30 00:05:00+00:00  851.270264  ...  851.697169  851.174780
2    2025-12-30 00:10:00+00:00  851.991272  ...  852.514928  850.831223
3    2025-12-30 00:15:00+00:00  852.207275  ...  852.763681  850.897849
4    2025-12-30 00:20:00+00:00  852.263428  ...  852.822667  851.018373
...                        ...         ...  ...         ...         ...
2237 2026-01-06 18:25:00+00:00  899.683960  ...  912.910966  893.799764
2238 2026-01-06 18:30:00+00:00  899.997009  ...  912.517100  893.560867
2239 2026-01-06 18:35:00+00:00  900.799927  ...  912.096208  893.424245
2240 2026-01-06 18:40:00+00:00  900.663330  ...  911.613585  893.259560
2241 2026-01-06 18:45:00+00:00  900.539612  ...  910.896766  893.234863

[2242 rows x 14 columns]",365,2242,"[36, 201, 257, 273, 293]","[29, 207, 261, 287, 301]","[1071, 2201]","[1039, 2231]",921.0521850585938,866.3804931640625,,{},,900.5396118164062,2026-01-06
BNDW,['YTD_UP'],"                         Date       Open  ...   BB_upper   BB_lower
0   2024-07-24 13:30:00+00:00  68.690002  ...  68.410004  68.410004
1   2024-07-25 13:30:00+00:00  68.570000  ...  68.658846  68.291158
2   2024-07-26 13:30:00+00:00  68.820000  ...  68.966264  68.193740
3   2024-07-29 13:30:00+00:00  68.870003  ...  69.128750  68.201252
4   2024-07-30 13:30:00+00:00  68.949997  ...  69.240477  68.227525
..                        ...        ...  ...        ...        ...
360 2025-12-30 14:30:00+00:00  68.870003  ...  69.916997  68.499002
361 2025-12-31 14:30:00+00:00  68.820000  ...  69.874563  68.453436
362 2026-01-02 14:30:00+00:00  68.769997  ...  69.806365  68.425634
363 2026-01-05 14:30:00+00:00  68.809998  ...  69.741145  68.416854
364 2026-01-06 18:43:03+00:00  68.809998  ...  69.688843  68.406856

[365 rows x 14 columns]","                         Date       Open  ...   BB_upper   BB_lower
0   2025-12-24 14:30:00+00:00  68.820000  ...  68.809898  68.809898
1   2025-12-24 14:35:00+00:00  68.785896  ...  68.831841  68.763953
2   2025-12-24 14:40:00+00:00  68.785004  ...  68.821150  68.768180
3   2025-12-24 14:45:00+00:00  68.785004  ...  68.817503  68.773645
4   2025-12-24 14:50:00+00:00  68.794998  ...  68.814457  68.776461
..                        ...        ...  ...        ...        ...
429 2026-01-06 18:10:00+00:00  68.860001  ...  68.873682  68.806229
430 2026-01-06 18:15:00+00:00  68.855003  ...  68.874162  68.809750
431 2026-01-06 18:20:00+00:00  68.858299  ...  68.874465  68.813776
432 2026-01-06 18:40:00+00:00  68.858398  ...  68.873956  68.818625
433 2026-01-06 18:43:03+00:00  68.857002  ...  68.872158  68.824623

[434 rows x 14 columns]",365,434,"[7, 37, 59, 76, 95, 134, 150, 175, 192, 213, 233, 284, 317, 338, 351]","[0, 27, 54, 74, 119, 139, 158, 168, 169, 180, 207, 218, 243, 277, 301, 330, 355]","[0, 38, 87, 88, 90, 155, 172, 237, 266, 331, 365, 396, 424, 425, 429]","[7, 61, 105, 160, 161, 213, 248, 264, 307, 408]",68.94989776611328,68.70159912109375,,{},,68.85700225830078,2026-01-06
BTC-USD,"['HALFYEARLY_DOWN', 'YTD_UP']","                         Date           Open  ...      BB_upper      BB_lower
0   2025-01-07 00:00:00+00:00  102248.851562  ...  96922.703125  96922.703125
1   2025-01-08 00:00:00+00:00   96924.164062  ...  98640.674681  93325.551881
2   2025-01-09 00:00:00+00:00   95043.484375  ...  99272.763528  90360.746888
3   2025-01-10 00:00:00+00:00   92494.492188  ...  98428.071810  91147.787565
4   2025-01-11 00:00:00+00:00   94700.835938  ...  97902.327990  91584.997010
..                        ...            ...  ...           ...           ...
360 2026-01-02 00:00:00+00:00   88733.062500  ...  89719.056798  85736.769764
361 2026-01-03 00:00:00+00:00   89945.054688  ...  90215.945429  85482.681915
362 2026-01-04 00:00:00+00:00   90603.000000  ...  90852.654818  85345.343620
363 2026-01-05 00:00:00+00:00   91414.625000  ...  92172.810015  84629.045453
364 2026-01-06 18:43:00+00:00   93861.726562  ...  92599.903236  84772.609264

[365 rows x 14 columns]","                          Date          Open  ...      BB_upper      BB_lower
0    2025-12-30 00:00:00+00:00  87142.078125  ...  87173.781250  87173.781250
1    2025-12-30 00:05:00+00:00  87130.132812  ...  87208.416552  87157.239698
2    2025-12-30 00:10:00+00:00  87184.734375  ...  87206.857984  87164.918058
3    2025-12-30 00:15:00+00:00  87193.054688  ...  87240.774211  87151.589071
4    2025-12-30 00:20:00+00:00  87218.515625  ...  87235.474167  87158.060208
...                        ...           ...  ...           ...           ...
2237 2026-01-06 18:25:00+00:00  91791.703125  ...  93002.732898  91408.101477
2238 2026-01-06 18:30:00+00:00  91927.382812  ...  92954.097192  91393.003590
2239 2026-01-06 18:35:00+00:00  91996.367188  ...  92905.887484  91373.034391
2240 2026-01-06 18:40:00+00:00  91824.632812  ...  92848.425608  91357.392360
2241 2026-01-06 18:43:00+00:00  91850.328125  ...  92758.672235  91362.467609

[2242 rows x 14 columns]",365,2242,"[14, 44, 95, 123, 135, 153, 188, 218, 254, 272, 330]","[2, 50, 62, 91, 149, 166, 261, 283, 319, 328]","[1071, 1747]",[],93177.6171875,,,{},,91850.328125,2026-01-06
CL=F,"['HALFYEARLY_DOWN', 'INTRADAY_BOTTOM', 'YEARLY_DOWN', 'YTD_UP']","                         Date       Open  ...   BB_upper   BB_lower
0   2024-10-28 04:00:00+00:00  68.980003  ...  67.379997  67.379997
1   2024-10-29 04:00:00+00:00  68.019997  ...  67.535412  67.054584
2   2024-10-30 04:00:00+00:00  67.470001  ...  69.261253  66.205412
3   2024-10-31 04:00:00+00:00  69.099998  ...  70.086568  66.143431
4   2024-11-01 04:00:00+00:00  70.440002  ...  70.494235  66.285764
..                        ...        ...  ...        ...        ...
295 2025-12-30 05:00:00+00:00  57.810001  ...  60.305679  55.326321
296 2025-12-31 05:00:00+00:00  57.950001  ...  60.219327  55.290673
297 2026-01-02 05:00:00+00:00  57.410000  ...  60.078523  55.268476
298 2026-01-05 05:00:00+00:00  57.470001  ...  59.845149  55.366851
299 2026-01-06 18:35:06+00:00  58.340000  ...  59.390536  55.565464

[300 rows x 14 columns]","                          Date       Open  ...   BB_upper   BB_lower
0    2025-12-28 23:10:00+00:00  57.090000  ...  57.150002  57.150002
1    2025-12-28 23:15:00+00:00  57.150002  ...  57.169140  57.140861
2    2025-12-28 23:20:00+00:00  57.169998  ...  57.252387  57.100948
3    2025-12-28 23:25:00+00:00  57.220001  ...  57.236532  57.108469
4    2025-12-28 23:30:00+00:00  57.150002  ...  57.226570  57.113431
...                        ...        ...  ...        ...        ...
1534 2026-01-06 18:15:00+00:00  57.650002  ...  58.098781  57.458218
1535 2026-01-06 18:20:00+00:00  57.619999  ...  58.051590  57.462410
1536 2026-01-06 18:30:00+00:00  57.500000  ...  58.007195  57.451804
1537 2026-01-06 18:35:00+00:00  57.520000  ...  57.958177  57.449822
1538 2026-01-06 18:35:06+00:00  57.520000  ...  57.921345  57.443654

[1539 rows x 14 columns]",300,1539,"[8, 19, 33, 54, 107, 118, 135, 160, 189, 212, 230, 249, 279]","[1, 14, 28, 39, 69, 90, 111, 129, 147, 163, 186, 215, 244, 286]","[128, 167, 244, 614, 678, 723, 724, 725, 864, 887, 975, 995, 1051, 1195, 1230, 1292, 1396, 1480]","[156, 158, 179, 229, 601, 667, 668, 715, 796, 814, 824, 878, 1029, 1140, 1220, 1306, 1411, 1416, 1467, 1497, 1536]",58.810001373291016,56.34000015258789,,{},,57.52000045776367,2026-01-06
DDM,"['BREAKOUT_UP', 'DAILY_TOP', 'HALFYEARLY_UP', 'MONTHLY_UP', 'NINE_DAY_HIGH', 'QUARTERLY_UP', 'YEARLY_UP', 'YTD_UP']","                         Date       Open  ...   BB_upper   BB_lower
0   2024-07-24 13:30:00+00:00  43.580002  ...  42.919998  42.919998
1   2024-07-25 13:30:00+00:00  42.900002  ...  43.226279  42.773721
2   2024-07-26 13:30:00+00:00  43.560001  ...  45.172694  41.797307
3   2024-07-29 13:30:00+00:00  44.645000  ...  45.320446  42.077055
4   2024-07-30 13:30:00+00:00  44.410000  ...  45.588699  42.223302
..                        ...        ...  ...        ...        ...
360 2025-12-30 14:30:00+00:00  57.820000  ...  58.976463  55.654537
361 2025-12-31 14:30:00+00:00  57.570000  ...  58.885740  55.852260
362 2026-01-02 14:30:00+00:00  57.150002  ...  58.897593  55.918407
363 2026-01-05 14:30:00+00:00  57.709999  ...  59.129672  55.921328
364 2026-01-06 18:47:03+00:00  57.709999  ...  59.623927  55.752073

[365 rows x 14 columns]","                         Date       Open  ...   BB_upper   BB_lower
0   2025-12-24 14:30:00+00:00  57.770000  ...  57.846500  57.846500
1   2025-12-24 14:35:00+00:00  57.799999  ...  57.891482  57.825018
2   2025-12-24 14:40:00+00:00  57.861301  ...  58.011983  57.772349
3   2025-12-24 14:45:00+00:00  57.959999  ...  58.106398  57.751851
4   2025-12-24 14:50:00+00:00  58.070000  ...  58.163703  57.754897
..                        ...        ...  ...        ...        ...
543 2026-01-06 18:25:00+00:00  60.049999  ...  60.178156  59.621365
544 2026-01-06 18:30:00+00:00  60.044399  ...  60.175093  59.665928
545 2026-01-06 18:40:00+00:00  60.070000  ...  60.167853  59.716167
546 2026-01-06 18:45:00+00:00  60.110001  ...  60.154712  59.774308
547 2026-01-06 18:47:03+00:00  60.090000  ...  60.156701  59.803459

[548 rows x 14 columns]",365,548,"[5, 77, 93, 167, 205, 236, 249, 300, 317, 328, 348, 364]","[8, 31, 70, 83, 103, 117, 159, 177, 185, 226, 256, 305, 334, 361]","[116, 182, 365]","[191, 345, 415]",58.400001525878906,56.439998626708984,,"{'DAILY_TOP': {'sl': np.float64(61.09571511404855), 'tp': np.float64(58.07857022966657), 'entry': 60.09000015258789, 'desc': 'Daily top confirmed near $60.11. Entry (short): $60.09.'}, 'BREAKOUT_UP': {'sl': np.float64(58.01428549630301), 'tp': np.float64(64.24142946515765), 'entry': 60.09000015258789, 'desc': 'Breakout above 20-day high ($59.00). Entry: $60.09.'}}",,60.09000015258789,2026-01-06
